Country,StockCode,Description,Amount,Rank
United Kingdom,23343,JUMBO BAG VINTAGE CHRISTMAS ,13175.829999999974,119.0
United Kingdom,20719,WOODLAND CHARLOTTE BAG,13167.000000000013,120.0
United Kingdom,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13110.309999999985,121.0
United Kingdom,15056BL,EDWARDIAN PARASOL BLACK,13014.990000000002,122.0
United Kingdom,20971,PINK BLUE FELT CRAFT TRINKET BOX,12968.709999999985,123.0
United Kingdom,21930,JUMBO STORAGE BAG SKULLS,12965.28999999995,124.0
United Kingdom,22941,CHRISTMAS LIGHTS 10 REINDEER,12962.91999999999,125.0
United Kingdom,22467,GUMBALL COAT RACK,12962.769999999966,126.0
United Kingdom,22083,PAPER CHAIN KIT RETROSPOT,12957.54000000006,127.0
United Kingdom,22507,MEMO BOARD RETROSPOT  DESIGN,12916.750000000018,128.0
United Kingdom,22624,IVORY KITCHEN SCALES,12821.459999999985,129.0
United Kingdom,48184,DOORMAT ENGLISH ROSE ,12767.599999999975,130.0
United Kingdom,22197,SMALL POPCORN HOLDER,12728.400000000045,131.0
United Kingdom,23356,LOVE HOT WATER BOTTLE,12709.970000000032,132.0
United Kingdom,22499,WOODEN UNION JACK BUNTING,12661.350000000024,133.0
United Kingdom,22622,BOX OF VINTAGE ALPHABET BLOCKS,12569.609999999975,134.0
United Kingdom,23200,JUMBO BAG PEARS,12514.19999999992,135.0
United Kingdom,21232,STRAWBERRY CERAMIC TRINKET BOX,12402.089999999975,136.0
United Kingdom,22752,SET 7 BABUSHKA NESTING BOXES,12369.669999999978,137.0
United Kingdom,22607,WOODEN ROUNDERS GARDEN SET ,12175.019999999986,138.0
Singapore,M,Manual,12158.9,1.0
United Kingdom,22188,BLACK HEART CARD HOLDER,12089.45000000001,139.0
United Kingdom,21755,LOVE BUILDING BLOCK WORD,11917.11000000001,140.0
United Kingdom,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,11914.01,141.0
United Kingdom,22427,ENAMEL FLOWER JUG CREAM,11808.560000000032,142.0
United Kingdom,22113,GREY HEART HOT WATER BOTTLE,11722.580000000004,143.0
United Kingdom,22149,FELTCRAFT 6 FLOWER FRIENDS,11712.480000000045,144.0
United Kingdom,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,11711.59,145.0
United Kingdom,22424,ENAMEL BREAD BIN CREAM,11701.929999999982,146.0
United Kingdom,23300,GARDENERS KNEELING PAD CUP OF TEA ,11617.689999999991,147.0
United Kingdom,22568,FELTCRAFT CUSHION OWL,11573.799999999994,148.0
United Kingdom,82486,WOOD S/3 CABINET ANT WHITE FINISH,11553.47999999995,149.0
United Kingdom,20723,STRAWBERRY CHARLOTTE BAG,11459.000000000002,150.0
United Kingdom,23077,DOUGHNUT LIP GLOSS ,11405.769999999991,151.0
United Kingdom,48188,DOORMAT WELCOME PUPPIES,11355.219999999998,152.0
United Kingdom,22087,PAPER BUNTING WHITE LACE,11349.979999999996,153.0
United Kingdom,21790,VINTAGE SNAP CARDS,11275.110000000032,154.0
United Kingdom,22629,SPACEBOY LUNCH BOX ,11269.669999999962,155.0
United Kingdom,23207,LUNCH BAG ALPHABET DESIGN,11266.499999999962,156.0
United Kingdom,22041,"RECORD FRAME 7"" SINGLE SIZE ",11247.460000000001,157.0
United Kingdom,B,Adjust bad debt,11062.06,158.0
United Kingdom,21524,DOORMAT SPOTTY HOME SWEET HOME,11041.109999999964,159.0
United Kingdom,22502,PICNIC BASKET WICKER SMALL,10979.220000000045,160.0
United Kingdom,22191,IVORY DINER WALL CLOCK,10889.949999999992,161.0
United Kingdom,22158,3 HEARTS HANGING DECORATION RUSTIC,10871.280000000026,162.0
United Kingdom,23581,JUMBO BAG PAISLEY PARK,10847.349999999973,163.0
United Kingdom,22273,FELTCRAFT DOLL MOLLY,10783.74000000004,164.0
United Kingdom,22988,SOLDIERS EGG CUP ,10728.309999999985,165.0
United Kingdom,20749,ASSORTED COLOUR MINI CASES,10620.669999999976,166.0
United Kingdom,22570,FELTCRAFT CUSHION RABBIT,10578.66,167.0
United Kingdom,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,10552.679999999993,168.0
United Kingdom,47566B,TEA TIME PARTY BUNTING,10497.970000000003,169.0
United Kingdom,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,10398.570000000005,170.0
United Kingdom,20711,JUMBO BAG TOYS ,10363.299999999985,171.0
United Kingdom,22847,BREAD BIN DINER STYLE IVORY,10340.440000000013,172.0
United Kingdom,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,10252.269999999991,173.0
United Kingdom,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,10239.16000000002,174.0
United Kingdom,22193,RED DINER WALL CLOCK,10090.769999999995,175.0
United Kingdom,22730,ALARM CLOCK BAKELIKE IVORY,10068.15,176.0
United Kingdom,22692,DOORMAT WELCOME TO OUR HOME,10046.259999999984,177.0
United Kingdom,22605,WOODEN CROQUET GARDEN SET,10043.36,178.0
United Kingdom,22633,HAND WARMER UNION JACK,9981.720000000023,179.0
United Kingdom,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,9921.849999999955,180.0
United Kingdom,48173C,DOORMAT BLACK FLOCK ,9869.259999999998,181.0
United Kingdom,47590B,PINK HAPPY BIRTHDAY BUNTING,9823.020000000022,182.0
United Kingdom,23582,VINTAGE DOILY JUMBO BAG RED ,9802.890000000001,183.0
United Kingdom,23174,REGENCY SUGAR BOWL GREEN,9796.180000000024,184.0
United Kingdom,22356,CHARLOTTE BAG PINK POLKADOT,9789.240000000009,185.0
United Kingdom,22558,CLOTHES PEGS RETROSPOT PACK 24 ,9787.440000000013,186.0
United Kingdom,22625,RED KITCHEN SCALES,9786.299999999997,187.0
United Kingdom,22791,T-LIGHT GLASS FLUTED ANTIQUE,9756.379999999988,188.0
United Kingdom,82600,NO SINGING METAL SIGN,9745.86,189.0
United Kingdom,22169,FAMILY ALBUM WHITE PICTURE FRAME,9636.860000000002,190.0
United Kingdom,23108,SET OF 10 LED DOLLY LIGHTS,9622.359999999999,191.0
United Kingdom,21314,SMALL GLASS HEART TRINKET POT,9609.98,192.0
United Kingdom,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,9607.709999999994,193.0
United Kingdom,22970,LONDON BUS COFFEE MUG,9606.899999999992,194.0
United Kingdom,22413,METAL SIGN TAKE IT OR LEAVE IT ,9566.389999999985,195.0
United Kingdom,22569,FELTCRAFT CUSHION BUTTERFLY,9499.249999999998,196.0
France,M,Manual,9492.370000000003,2.0
United Kingdom,23208,LUNCH BAG VINTAGE LEAF DESIGN,9485.109999999977,197.0
United Kingdom,21891,TRADITIONAL WOODEN SKIPPING ROPE,9408.459999999963,198.0
United Kingdom,21174,POTTERING IN THE SHED METAL SIGN,9289.019999999991,199.0
United Kingdom,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,9286.22000000003,200.0
United Kingdom,22492,MINI PAINT SET VINTAGE ,9265.56999999997,201.0
United Kingdom,22456,NATURAL SLATE CHALKBOARD LARGE ,9247.570000000018,202.0
United Kingdom,22690,DOORMAT HOME SWEET HOME BLUE ,9172.699999999992,203.0
United Kingdom,22776,SWEETHEART CAKESTAND 3 TIER,9122.599999999982,204.0
United Kingdom,22844,VINTAGE CREAM DOG FOOD CONTAINER,9119.020000000002,205.0
Germany,22423,REGENCY CAKESTAND 3 TIER,9061.949999999997,2.0
United Kingdom,22630,DOLLY GIRL LUNCH BOX,9039.789999999979,206.0
United Kingdom,22617,BAKING SET SPACEBOY DESIGN,8961.850000000006,207.0
United Kingdom,85150,LADIES & GENTLEMEN METAL SIGN,8960.130000000008,208.0
United Kingdom,21791,VINTAGE HEADS AND TAILS CARD GAME ,8954.05,209.0
United Kingdom,22144,CHRISTMAS CRAFT LITTLE FRIENDS,8948.180000000022,210.0
United Kingdom,23209,LUNCH BAG VINTAGE DOILY ,8923.79999999999,211.0
United Kingdom,22766,PHOTO FRAME CORNICE,8914.390000000007,212.0
United Kingdom,POST,POSTAGE,8906.940000000004,213.0
United Kingdom,21977,PACK OF 60 PINK PAISLEY CAKE CASES,8860.469999999976,214.0
United Kingdom,48116,DOORMAT MULTICOLOUR STRIPE,8821.930000000002,215.0
United Kingdom,22621,TRADITIONAL KNITTING NANCY,8763.500000000015,216.0
United Kingdom,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,8705.440000000006,217.0
United Kingdom,23170,REGENCY TEA PLATE ROSES ,8685.550000000025,218.0
United Kingdom,82582,AREA PATROLLED METAL SIGN,8596.289999999997,219.0
United Kingdom,23171,REGENCY TEA PLATE GREEN ,8584.090000000022,220.0
United Kingdom,35970,ZINC FOLKART SLEIGH BELLS,8575.730000000005,221.0
United Kingdom,21155,RED RETROSPOT PEG BAG,8567.000000000027,222.0
United Kingdom,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,8552.860000000008,223.0
United Kingdom,47590A,BLUE HAPPY BIRTHDAY BUNTING,8549.800000000007,224.0
United Kingdom,23322,LARGE WHITE HEART OF WICKER,8528.409999999969,225.0
United Kingdom,23439,HAND WARMER RED LOVE HEART,8512.009999999997,226.0
United Kingdom,21936,RED RETROSPOT PICNIC BAG,8476.639999999994,227.0
United Kingdom,22560,TRADITIONAL MODELLING CLAY,8419.120000000004,228.0
United Kingdom,23209,LUNCH BAG DOILEY PATTERN ,8409.739999999998,229.0
United Kingdom,20972,PINK CREAM FELT CRAFT TRINKET BOX ,8363.670000000004,230.0
United Kingdom,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8320.589999999976,231.0
United Kingdom,23321,SMALL WHITE HEART OF WICKER,8230.720000000003,232.0
United Kingdom,23080,RED METAL BOX TOP SECRET,8221.370000000004,233.0
United Kingdom,22147,FELTCRAFT BUTTERFLY HEARTS,8050.239999999983,234.0
United Kingdom,22729,ALARM CLOCK BAKELIKE ORANGE,8022.699999999999,235.0
Netherlands,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,7991.400000000001,1.0
United Kingdom,23319,BOX OF 6 MINI 50'S CRACKERS,7991.239999999964,236.0
United Kingdom,22654,DELUXE SEWING KIT ,7979.10000000001,237.0
United Kingdom,21481,FAWN BLUE HOT WATER BOTTLE,7976.029999999994,238.0
United Kingdom,22952,60 CAKE CASES VINTAGE CHRISTMAS,7974.919999999981,239.0
United Kingdom,22768,FAMILY PHOTO FRAME CORNICE,7970.039999999985,240.0
United Kingdom,21484,CHICK GREY HOT WATER BOTTLE,7957.7699999999995,241.0
United Kingdom,71459,HANGING JAM JAR T-LIGHT HOLDER,7909.839999999974,242.0
EIRE,22423,REGENCY CAKESTAND 3 TIER,7844.249999999996,1.0
United Kingdom,23318,BOX OF 6 MINI VINTAGE CRACKERS,7841.029999999977,243.0
United Kingdom,23175,REGENCY MILK JUG PINK ,7827.9000000000015,244.0
United Kingdom,21217,RED RETROSPOT ROUND CAKE TINS,7824.589999999984,245.0
United Kingdom,71053,WHITE METAL LANTERN,7824.019999999998,246.0
United Kingdom,22561,WOODEN SCHOOL COLOURING SET,7799.52000000001,247.0
United Kingdom,22632,HAND WARMER RED RETROSPOT,7757.629999999992,248.0
United Kingdom,22947,WOODEN ADVENT CALENDAR RED,7729.639999999994,249.0
United Kingdom,22978,PANTRY ROLLING PIN,7725.02,250.0
United Kingdom,22616,PACK OF 12 LONDON TISSUES ,7647.799999999996,251.0
United Kingdom,22655,VINTAGE RED KITCHEN CABINET,7625.0,252.0
United Kingdom,72741,GRAND CHOCOLATECANDLE,7601.300000000024,253.0
United Kingdom,23076,ICE CREAM SUNDAE LIP GLOSS,7566.960000000003,254.0
United Kingdom,84949,SILVER HANGING T-LIGHT HOLDER,7563.239999999988,255.0
United Kingdom,22619,SET OF 6 SOLDIER SKITTLES,7545.290000000006,256.0
United Kingdom,22992,REVOLVER WOODEN RULER ,7542.439999999988,257.0
United Kingdom,20679,EDWARDIAN PARASOL RED,7499.119999999991,258.0
Netherlands,22629,SPACEBOY LUNCH BOX ,7485.5999999999985,2.0
United Kingdom,22759,SET OF 3 NOTEBOOKS IN PARCEL,7483.340000000005,259.0
United Kingdom,23082,SET 6 PAPER TABLE LANTERN HEARTS ,7477.080000000002,260.0
United Kingdom,22846,BREAD BIN DINER STYLE RED ,7470.919999999985,261.0
United Kingdom,22900, SET 2 TEA TOWELS I LOVE LONDON ,7467.9000000000015,262.0
United Kingdom,85014B,RED RETROSPOT UMBRELLA,7462.749999999991,263.0
United Kingdom,48111,DOORMAT 3 SMILEY CATS,7458.28,264.0
United Kingdom,21914,BLUE HARMONICA IN BOX ,7442.860000000007,265.0
United Kingdom,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",7421.259999999988,266.0
United Kingdom,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,7412.470000000003,267.0
United Kingdom,21955,DOORMAT UNION JACK GUNS AND ROSES,7370.519999999998,268.0
United Kingdom,23493,VINTAGE DOILY TRAVEL SEWING KIT,7365.029999999992,269.0
United Kingdom,23078,ICE CREAM PEN LIP GLOSS ,7318.740000000003,270.0
United Kingdom,21258,VICTORIAN SEWING BOX LARGE,7297.250000000001,271.0
France,23084,RABBIT NIGHT LIGHT,7277.199999999999,3.0
United Kingdom,84997B,CHILDRENS CUTLERY RETROSPOT RED ,7270.559999999998,272.0
United Kingdom,21889,WOODEN BOX OF DOMINOES,7242.2900000000045,273.0
United Kingdom,22662,LUNCH BAG DOLLY GIRL DESIGN,7232.980000000002,274.0
United Kingdom,22487,WHITE WOOD GARDEN PLANT LADDER,7188.679999999964,275.0
United Kingdom,84375,SET OF 20 KIDS COOKIE CUTTERS,7173.950000000004,276.0
United Kingdom,84970S,HANGING HEART ZINC T-LIGHT HOLDER,7131.089999999962,277.0
United Kingdom,21136,PAINTED METAL PEARS ASSORTED,7117.130000000042,278.0
United Kingdom,21213,PACK OF 72 SKULL CAKE CASES,7110.529999999994,279.0
United Kingdom,22381,TOY TIDY PINK POLKADOT,7087.140000000016,280.0
EIRE,M,Manual,7049.66,2.0
United Kingdom,84991,60 TEATIME FAIRY CAKE CASES,7046.219999999993,281.0
United Kingdom,22966,GINGERBREAD MAN COOKIE CUTTER,7043.810000000004,282.0
United Kingdom,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,6991.649999999981,283.0
United Kingdom,21231,SWEETHEART CERAMIC TRINKET BOX,6965.890000000003,284.0
United Kingdom,20969,RED FLORAL FELTCRAFT SHOULDER BAG,6942.960000000002,285.0
United Kingdom,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6848.219999999981,286.0
United Kingdom,23215,JINGLE BELL HEART ANTIQUE SILVER,6844.959999999997,287.0
United Kingdom,84378,SET OF 3 HEART COOKIE CUTTERS,6832.359999999981,288.0
Netherlands,22630,DOLLY GIRL LUNCH BOX,6828.599999999999,3.0
United Kingdom,75049L,LARGE CIRCULAR MIRROR MOBILE,6827.980000000006,289.0
United Kingdom,84836,ZINC METAL HEART DECORATION,6817.860000000001,290.0
United Kingdom,21326,AGED GLASS SILVER T-LIGHT HOLDER,6787.120000000019,291.0
United Kingdom,22767,TRIPLE PHOTO FRAME CORNICE ,6755.649999999991,292.0
United Kingdom,22652,TRAVEL SEWING KIT,6739.719999999998,293.0
United Kingdom,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6734.5999999999985,294.0
United Kingdom,22834,HAND WARMER BABUSHKA DESIGN,6732.430000000004,295.0
United Kingdom,22795,SWEETHEART RECIPE BOOK STAND,6687.7999999999965,296.0
United Kingdom,22485,SET OF 2 WOODEN MARKET CRATES,6680.349999999999,297.0
United Kingdom,22725,ALARM CLOCK BAKELIKE CHOCOLATE,6678.3499999999985,298.0
United Kingdom,21922,UNION STRIPE WITH FRINGE  HAMMOCK,6674.0599999999895,299.0
United Kingdom,21257,VICTORIAN SEWING BOX MEDIUM,6615.219999999987,300.0
United Kingdom,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,6600.489999999983,301.0
United Kingdom,23240,SET OF 4 KNICK KNACK TINS DOILY ,6570.979999999987,302.0
United Kingdom,21912,VINTAGE SNAKES & LADDERS,6526.450000000004,303.0
United Kingdom,20750,RED RETROSPOT MINI CASES,6509.729999999988,304.0
United Kingdom,21259,VICTORIAN SEWING BOX SMALL ,6506.5999999999885,305.0
United Kingdom,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6500.019999999999,306.0
United Kingdom,23553,LANDMARK FRAME CAMDEN TOWN ,6457.150000000001,307.0
United Kingdom,84946,ANTIQUE SILVER TEA GLASS ETCHED,6448.01,308.0
United Kingdom,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,6429.399999999978,309.0
United Kingdom,23134,LARGE ZINC HEART WALL ORGANISER,6414.61,310.0
United Kingdom,21908,CHOCOLATE THIS WAY METAL SIGN,6409.120000000001,311.0
United Kingdom,23541,WALL ART CLASSIC PUDDINGS ,6339.110000000004,312.0
United Kingdom,22900,SET 2 TEA TOWELS I LOVE LONDON ,6327.880000000009,313.0
United Kingdom,22508,DOORSTOP RETROSPOT HEART,6319.630000000003,314.0
United Kingdom,84997D,CHILDRENS CUTLERY POLKADOT PINK,6308.489999999998,315.0
United Kingdom,23103,JINGLE BELL HEART DECORATION,6304.059999999996,316.0
United Kingdom,21770,OPEN CLOSED METAL SIGN,6298.079999999968,317.0
United Kingdom,22741,FUNKY DIVA PEN,6292.860000000023,318.0
United Kingdom,22192,BLUE DINER WALL CLOCK,6281.890000000002,319.0
United Kingdom,22109,FULL ENGLISH BREAKFAST PLATE,6249.2400000000025,320.0
United Kingdom,21877,HOME SWEET HOME MUG,6173.849999999994,321.0
United Kingdom,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,6163.24,322.0
United Kingdom,22294,HEART FILIGREE DOVE  SMALL,6140.77,323.0
